phi,uv,ca
0.5,0,151.0264904
0.5,1,140.4354435
0.5,2,109.3975777
0.5,3,92.05469436
0.5,4,86.91538365
0.5,5,78.12689294
0.5,6,56.08339998
0.5,7,45.90032981
0.5,8,32.08315342
0.5,9,23.6329671
0.5,10,20.32025934
0.5,11,14.97177482
0.5,12,12.88660655
0.5,13,0
